AdultPrice,AdultPriceEUR,AdultPriceExclTax,Currency,Deeplink,FeeIndexes,FlightIndex,IsPaymentIncluded,MobileDeepLink,PaymentMethods,Score,SegmentFares,SegmentKey,TicketClassIndex,TotalIsCalculated,TotalPrice,TotalPriceEUR,TotalPriceExclTax,Culture,Market,Application,Consumer,Mix,Mobile,TicketClass,AdultCount,ChildAges,Segments
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:7:1|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O5zPzGATwk3yIYT2%2FChkd6GCng3Jjq%2FyFruyVsP4qSN%2BB3yRHd8FVMGAeSuKU0c3bPcY9BEKNidYGNkIKoEc3v%2B5DmBlVwqT9Rl8LR%2B%2F1uIh7nFEehcjDlgTb72ZtEnfpl5g24C9i6g94VbY4y6k3iraBKOSvbxPz6iQrftiKTGl5op6bNVe6F%2BPeuukwDDXgTjLDS,"[0, 1, 2, 12, 4, 13, 14, 15, 5, 6]",10,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",870.64,,-1,0,False,749.92,634.29,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:7:2|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O5zPzGATwk3yIYT2%2FChkd6GCng3Jjq%2FDAQjibHpM8qYHTI7QTRC%2BipUG7BsnUwqLnmbQOQRHpeQlmDowNScgcY%2BICdzf0WmZe5vs7iqUO2dcQvUBkg4hST0oyMgbYY%2BqUct2AC0m7pFJ43P1Kc%2FcPyxsWs4yQx7WsFD6DL52dAvt1yeBuljKTPV0dwGk30gwHAUlAh,"[0, 1, 2, 12, 4, 13, 14, 15, 5, 6]",11,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",870.64,,-1,0,False,749.92,634.29,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:7:3|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O5zPzGAT6C%2B8x2czOKXYkC60XQU5gyEWRSypqRCakPhk3NqYp7M2vGAi0rP2Gbc4%2BWXWPdUMbpL0B5LQSGICOSRbZCzVTrssq3GwKDj9OVD0hFob5WP7MaikIgEcQf93lvFrbbChzOebc%2Fg7PcB19XbumZoVhqKAu0WXKcTXg0BWip61X8qwaRevLMew78xTrUiXIj,"[0, 1, 2, 12, 4, 13, 14, 15, 5, 6]",12,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",914.64,,-1,0,False,749.92,634.29,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:7:4|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O5zPzGAT6C%2B8x2czOKXYkC60XQU5gyEouoXykdAeu87cT3wsgsNC0h9o2vlC8ngJH0PoXA5%2FjqCzS30DS2c7L8bCjoRJPaBuSiAF09yMxzAXZyK8wGNXBO1J1XTCxGGNBJvtMkZIRKk1h0XB5RuSUCp4VQLvX6xAtMErnQYLWyqa%2BDrZCNgMalWf%2FMk41BlCO88MHQ,"[0, 1, 2, 12, 4, 13, 14, 15, 5, 6]",13,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",914.64,,-1,0,False,749.92,634.29,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:7:5|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O5zPzBZkYqsVw8zW0DP6SPDXHqKJ9IvPeofnW%2FCG5ZDpVdAWkEJCCsh%2FxlITycd5quURwD6C9tSk1jpsgeKMy7g4i9zVZbENjAhx0v5q1u9wjBBqz%2F9uLFC5rPJcuPncNL9hHgSLgHOujn6OdNWEdCULkBy4tW%2Fj6Hi3ACBKDRuu1ZJlFzDTWNRHuu3R2e9CCyL3Au,"[0, 1, 2, 12, 4, 13, 14, 15, 5, 6]",14,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",950.64,,-1,0,False,749.92,634.29,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:8:0|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O8Y29Zahe39SvYPjbeu25GYbdq4vdTLlUQdenzsXOYEzC77wsmP%2B7cYX6XkJyEMYC4f5bdhFZ%2FMuTLVFlIBBL1qB7jPdla%2FXoV17uEZFjjlc5O0Hf1JI1%2B084rQ3F48gEsbKBhjHlIugIbUhW6XmwNS3YJofuK9RLjnvP44nsX3hec%2BI6J3vLnki%2BIYP60YBrdXF4%3D,"[0, 1, 2, 16, 4, 5, 6]",15,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",977.52,,-1,0,False,757.9,641.04,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:9:0|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O5zPzGCq6Ccz1NLVdWdzu06wODL7gWjYoS%2FixSKQJMKWXm1FJEmzKqEhrwLAVsUfhYV6kFqfGdNLFBpkf7Ys%2F02R11yrNGK1hjejEAA05oSJf%2FhS9B2CmnMERo61ym00QhbdSRw9L9wqfXM2okg7ZW9U92yGndJIvgueOKWxRK%2BS1YL%2F5GoSnKx5LnferNsqStdx04,"[0, 1, 2, 17, 4, 13, 14, 15, 5, 6]",16,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",965.99,,-1,0,False,759.01,641.98,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:10:0|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O8Y29Zahe39SvYPjbeu25GYbdq4vdTLlUQdenzsXOYEzC77wsmP%2B7cYX6XkJyEMYC4f5bdhFZ%2FMuTLVFlIBBL1qB7jPdla%2FXoV17uEZFjjlc5O0Hf1JI1%2B084rQ3Dggr4jdBYwsvtrx1OqooJzDQVRI%2Bditos4I0T3jjP6T7708BvoTNR0NAbIJyDQ2YUKKdfg7A%3D%3D,"[0, 1, 2, 18, 4, 5, 6]",17,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",979.46,,-1,0,False,792.06,669.93,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:10:0|1:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O8Y29Zahe39SvYPjbeu25GYbdq4vdTLlUQdenzsXOYEzC77wsmP%2B7cYX6XkJyEMYC4f5bdhFZ%2FMuTLVFlIBBL1qB7jPdla%2FXoV17uEZFjjlc5O0Hf1JI1%2B084rQ3Dggr4jdBYwsvtrx1OqooJzDQSNrgexOVgJOqE5lSTiR5DPmnyLKGB0ukULV8az9ueNe0nt%2BA%3D%3D,"[0, 1, 2, 18, 4, 5, 6]",18,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",1033.46,,-1,0,False,792.06,669.93,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
0.0,0.0,0.0,USD,https://xml.sky-tours.com/xml_in.php?a=momondo&lang=en&book=T:11:0|0:0&key=GEGABY12/24/20179900ABYGEG01/05/20189900Y010000&life=864000&service=momondo&sub_service=mobile&link=offer&api_version=7&api=gmtvhDnRv555VaOvoOamwjTyVeCJEC2qplHP6Zr5j7CNI%2BJhUCov%2Bw%3D%3D&check=gmtvhDnRv555VaO1vlMdYS65Q3O8Y29Zahe39SvYPjbeu25GYbdq4vdTLlUQdenzsXOYEzC77wsmP%2B7cYX6XkJyEMYC4f5bdhFZ%2FMuTLVFlIBBL1qB7jPdla%2FXoV17uEZFjjlc5O0Hf1JI1%2B084rQ3KK9YTtd5m4RPZUlvV05BEKmHeIa3DBZxDinXkZy1yNOJUC0CUVqHWmC9zUabuexuR8GJZggoDS,"[0, 1, 2, 18, 4, 5, 6]",19,True,,"['American Express', 'Discover', 'MasterCard', 'VISA']",1081.96,,-1,0,False,792.06,669.93,0.0,en-US,US,Android,momondo,NONE,True,ECO,1,[],"[{'Origin': 'GEG', 'Destination': 'ABY', 'Departure': '12-24-2017'}, {'Origin': 'ABY', 'Destination': 'GEG', 'Departure': '01-05-2018'}]"
